Question ID,Category,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q252,Transport & Traffic Safety,Ajolupa / viranomainen,M79,Mikä seuraavista toimii esteenä taksinkuljettajan ajoluvan myöntämiselle?,Which of the following is an obstacle to granting a taxi driver's licence?,Toisen asteen koulutuksen suorittamatta jättäminen.,Not having completed secondary education.,Alle vuoden voimassa ollut B-luokan ajo-oikeus.,Having held a class B driving licence for less than one year.,None,None,B,esteenä taksinkuljettajan ajoluvan myöntämiselle,obstacle to granting the licence,Alle vuoden voimassa ollut B-luokan ajo-oikeus,class B licence held for less than one year,Toisen asteen koulutuksen suorittamatta jättäminen,not completing secondary education,A class B licence held for less than one year is a formal disqualifier (B). Secondary education is not required.,Medium,licence; B licence; one year; review-flag,ai-draft,Option C is blank in master (original source missing). Two-option question; answer B is clear.
Q253,Transport & Traffic Safety,Liikennemerkki / pysähtyminen,M81,"Mikä on oikea tapa toimia, kun asiakas pyytää pysähtymään paikassa, jossa pysähtyminen on kielletty?",What is the correct way to act when a customer asks you to stop in a place where stopping is prohibited?,Asiakas voi aina päättää pysähtymispaikan.,The customer may always decide the stopping place.,"Et voi pysähtyä paikkaan, jossa pysähtyminen on kielletty.",You cannot stop in a place where stopping is prohibited.,Pysähtymissäännöistä voi perustellusta syystä poiketa.,Stopping rules may be deviated from for a justified reason.,B,pysähtyminen on kielletty,stopping is prohibited,"Et voi pysähtyä paikkaan, jossa pysähtyminen on kielletty",you cannot stop where stopping is prohibited,Asiakas voi aina päättää pysähtymispaikan; voi perustellusta syystä poiketa,customer always decides; may deviate for a justified reason,"You cannot stop where it is prohibited (B). The customer does not override traffic law (A), and taxis have no justified-reason exemption from stopping rules (C).",Easy,no-stopping; traffic rules,ai-draft,
Q254,Transport & Traffic Safety,Ajolupa / viranomainen,M84,"Auliksen ajoluvan asemapaikka on Vantaa, mutta hän on muuttamassa Jyväskylään ja on löytänyt uuden työnantajan sieltä. Voiko Aulis aloittaa työskentelyn jyväskyläläisellä työnantajalla?","Aulis has a taxi licence with Vantaa as the home base, but he is moving to Jyväskylä and has found a new employer there. Can Aulis start working for the Jyväskylä employer?","Ei, sillä taksinkuljettajan ajolupa on voimassa vain kaksi vuotta.","No, because a taxi driver's licence is valid for only two years.","Kyllä, mutta suoritettuaan hyväksytysti Jyväskylän paikallistuntemuskokeen ja haettuaan ajoluvan kelpoisuusalueen laajentamista Traficomilta.","Yes, but only after passing the Jyväskylä local-knowledge test and applying to Traficom to extend the licence's coverage area.","Kyllä, sillä taksinkuljettajan ajolupa on voimassa koko Manner-Suomen alueella.","Yes, because a taxi driver's licence is valid across the whole of mainland Finland.",C,asemapaikka on Vantaa; muuttamassa Jyväskylään,home base is Vantaa; moving to Jyväskylä,voimassa koko Manner-Suomen alueella,valid across all of mainland Finland,voimassa vain kaksi vuotta; paikallistuntemuskokeen,valid for only two years; local-knowledge test,"A taxi licence is valid across all of mainland Finland — no local-knowledge test or area extension is needed (C). Licences last up to five years, not two (A).",Medium,licence; mainland Finland; validity area,ai-draft,
Q255,Transport & Traffic Safety,Ajolupa / viranomainen,M85,Millä tavalla taksinkuljettajan ajolupaa hakeva henkilö osoittaa täyttävänsä ryhmän 2 terveysvaatimukset?,How does a taxi driver licence applicant demonstrate meeting group 2 health requirements?,Lääkärinlausunnolla ajoterveysvaatimusten täyttymisestä.,By a medical certificate confirming the driving health requirements are met.,Omalla vakuutuksella ajoterveysvaatimusten täyttymisestä.,By their own declaration that the driving health requirements are met.,Ajoterveysvaatimusten täyttyminen on tarkastettu B-luokan ajo-oikeuden myöntämisen yhteydessä.,The health requirements were checked when the class B licence was granted.,A,ryhmän 2 terveysvaatimukset,group 2 health requirements,Lääkärinlausunnolla,a medical certificate,omalla vakuutuksella; tarkastettu B-luokan ajo-oikeuden myöntämisen yhteydessä,own declaration; checked at B-licence stage,Group 2 (professional driver) health requirements need a doctor's certificate (A). Self-declaration (B) is insufficient; group 2 is stricter than the group 1 check at B-licence stage (C).,Medium,health requirements; group 2; medical certificate,ai-draft,
Q256,Transport & Traffic Safety,Hätätilanne / poliisi / ensiapu,M87,Ennakoivassa ajotavassa tärkeintä on?,What is most important in anticipatory driving?,Osata toimia oikein onnettomuuden sattuessa.,Knowing how to act correctly when an accident happens.,Taito toimia oikein vaaratilanteessa onnettomuuden välttämiseksi.,The skill to act correctly in a dangerous situation to avoid an accident.,"Pyrkiä ajamaan niin, ettei joudu vaara- eikä onnettomuustilanteeseen.",Aiming to drive so that you never end up in a dangerous or accident situation.,C,Ennakoivassa ajotavassa,anticipatory driving,"ajamaan niin, ettei joudu vaara- eikä onnettomuustilanteeseen",drive so you never reach a dangerous situation,toimia oikein onnettomuuden sattuessa; vaaratilanteessa onnettomuuden välttämiseksi,act correctly when an accident happens; in a dangerous situation to avoid accident,True anticipatory driving means preventing dangerous situations entirely (C). A is post-accident; B is reactive to danger already present. C is proactive.,Medium,anticipatory driving; proactive; traffic safety,ai-draft,
Q257,Transport & Traffic Safety,Ajotapa / nopeus / turvaväli,M88,Mitä sinun on huomioitava ajaessasi toisen ajoneuvon takana?,What must you take into account when driving behind another vehicle?,Turvavälin pitämisellä ei ole merkitystä.,Maintaining a gap makes no difference.,"Turvavälin pitäminen edellä ajavaan pienentää myös sitä riskiä, että takanani ajava ajaisi päälleni.",Keeping a gap to the vehicle ahead also reduces the risk of the vehicle behind me rear-ending me.,Turvavälin pitämisellä edessä olevaan ei ole merkitystä turvallisen ajamisen kannalta.,Keeping a gap to the vehicle ahead has no importance for safe driving.,B,toisen ajoneuvon takana; turvavälin pitäminen,behind another vehicle; maintaining a gap,"pienentää myös sitä riskiä, että takanani ajava ajaisi päälleni",also reduces the risk of a rear-end from behind,ei ole merkitystä,makes no difference,A safe gap ahead gives reaction time and also reduces the chain-reaction risk from behind (B).,Easy,safe following distance; rear-end; traffic safety,ai-draft,
Q258,Transport & Traffic Safety,Työaika / ajopäiväkirja,M91,Koskeeko työaikalaki taksinkuljettajaa?,Does the Working Hours Act apply to taxi drivers?,Kyllä koskee.,"Yes, it does.","Ei koske, jos siitä on sovittu työsopimuksen yhteydessä.","No, if agreed upon in the employment contract.",Ei koske missään tilanteessa.,"No, under no circumstances.",A,työaikalaki,Working Hours Act,Kyllä koskee,"yes, it does","Ei koske, jos siitä on sovittu työsopimukse; Ei koske missään tilanteessa",no if agreed in contract; no under any circumstances,The Working Hours Act applies to all employed taxi drivers — it cannot be contracted out of (A).,Easy,Working Hours Act; employment; legal,ai-draft,
Q259,Transport & Traffic Safety,Ajolupa / viranomainen,M92,Kuka voi peruuttaa taksinkuljettajan ajoluvan?,Who can revoke a taxi driver's licence?,Poliisi.,The police.,Taksin paikallisyhdistys.,The local taxi association.,Liikenne- ja viestintävirasto.,The Finnish Transport and Communications Agency (Traficom).,A,peruuttaa taksinkuljettajan ajoluvan,revoke a taxi driver's licence,Poliisi,the police,Taksin paikallisyhdistys; Liikenne- ja viestintävirasto,the local taxi association; Traficom,The police have the authority to revoke a taxi driver's licence (A). Local associations (B) have no legal authority; Traficom (C) grants licences but revocation power rests with the police.,Medium,licence revocation; police; authority,ai-draft,
Q260,Transport & Traffic Safety,Ajoneuvo / lupavelvoitteet,M93,Milloin taksiliikenteessä saa ajaa ilman taksivalaisinta?,When may you drive in taxi service without the taxi sign lit?,Kaikissa ajoissa.,In all driving.,"Aina silloin, kun ajo alkaa muualta kuin taksiasema-alueelta.",Always when the ride starts somewhere other than a taxi rank.,"Silloin, jos kyseessä on sopimusajo, josta on tehty kirjallinen sopimus.",When the ride is a contract ride for which a written agreement has been made.,C,ilman taksivalaisinta,without the taxi sign,"sopimusajo, josta on tehty kirjallinen sopimus",a contract ride with a written agreement,Kaikissa ajoissa; kun ajo alkaa muualta kuin taksiasema-alueelta,all driving; when starting other than at a rank,"The taxi sign may be unlit for written-contract rides (C). It is not unlit in all cases (A), and the starting point is irrelevant (B).",Medium,taxi sign; contract ride; regulations,ai-draft,
Q261,Transport & Traffic Safety,Ajotapa / nopeus / turvaväli,M94,"Mikä on oikea tapa toimia tilanteessa, kun kyydissä olevalla matkustajalla on kiire ja liikenne on ruuhkautunut?",What is the correct way to act when the passenger is in a hurry and traffic is congested?,Pidät asiakkaan tilanteen tasalla ja kerrot mahdollisesta myöhästymisestä.,You keep the customer informed and notify them of any possible delay.,Aikataulun kiinniottamiseksi voit ajaa loppumatkan ylinopeudella.,To make up time you may drive the rest of the journey at speed.,"Asiakkaan kiireen vuoksi voit rikkoa liikennesääntöjä, jotta pysytte aikataulussa.",Due to the customer's hurry you may break traffic rules to stay on schedule.,A,matkustajalla on kiire; liikenne on ruuhkautunut,the passenger is in a hurry; traffic is congested,Pidät asiakkaan tilanteen tasalla; kerrot mahdollisesta myöhästymisestä,keep the customer informed; notify them of any delay,ajaa loppumatkan ylinopeudella; rikkoa liikennesääntöjä,drive at speed; break traffic rules,Communicate the delay — that is the professional response (A). Speeding (B) or breaking rules (C) is never justified by a customer's schedule.,Easy,delay; communication; traffic congestion,ai-draft,
Q262,Transport & Traffic Safety,Työaika / ajopäiväkirja,M95,"Kuinka pitkä on taksinkuljettajan irtisanomisaika, kun työsuhde on kestänyt alle viisi vuotta?",How long is a taxi driver's notice period when the employment has lasted less than five years?,7 päivää.,7 days.,14 päivää.,14 days.,1 kuukausi.,1 month.,B,irtisanomisaika; alle viisi vuotta,notice period; less than five years,14 päivää,14 days,7 päivää; 1 kuukausi,7 days; 1 month,Under five years of service: 14-day notice period (B).,Easy,notice period; employment; under five years,ai-draft,
Q263,Transport & Traffic Safety,Ajolupa / viranomainen,M97,"Kuka vastaa siitä, että taksiliikennelupa on taksissa mukana?",Who is responsible for ensuring the taxi transport licence is in the taxi?,Taksinkuljettaja.,The taxi driver.,Taksiliikennelupa haltija.,The taxi transport licence holder.,"Ei kukaan, koska luvan mukana pitämistä ei vaadita.","No one, because keeping the licence with the vehicle is not required.",A,taksiliikennelupa on taksissa mukana,the transport licence is in the taxi,Taksinkuljettaja,the taxi driver,Taksiliikennelupa haltija; Ei kukaan,the licence holder; no one,The driver is responsible for carrying the licence in the vehicle (A).,Easy,transport licence; driver responsibility,ai-draft,
Q264,Transport & Traffic Safety,Hätätilanne / poliisi / ensiapu,P33,"Olet viemässä tuttua asiakasta elokuvateatteriin, kun yhtäkkiä asiakas saa kouristuskohtauksen. Tiedät asiakkaan sairastavan epilepsiaa. Mikä on ensimmäinen ensiaputoimenpiteesi?",You are taking a familiar customer to the cinema when they suddenly have a convulsion. You know they have epilepsy. What is your first first-aid action?,"Pidän tiukasti kiinni asiakkaasta, jottei hän satuttaisi itseään kouristuskohtauksen aikana.",I hold the customer tightly so they do not hurt themselves during the seizure.,"Huolehdit, ettei asiakas kolhi päätään, mutta et pyri estämään kouristusliikkeitä. Kun kouristukset vähenevät, käännät henkilön kylkiasentoon.",You make sure the customer does not bang their head but do not try to stop the convulsive movements. When the convulsions subside you turn them into the recovery position.,"Jatkat normaalisti matkaa, koska aikataulusi on tiukka ja arvelet kohtauksen menevän ohi.",You continue driving normally because your schedule is tight and you expect the seizure to pass.,B,kouristuskohtauksen; epilepsiaa,a convulsion/seizure; epilepsy,ettei asiakas kolhi päätään; et pyri estämään kouristusliikkeitä; kylkiasentoon,make sure they do not bang their head; do not try to stop the movements; recovery position,Pidän tiukasti kiinni; Jatkat normaalisti matkaa,hold tightly; continue driving,"Protect the head, do not restrain, then recovery position (B). Restraining risks injury (A); driving on is dangerous and irresponsible (C).",Hard,epilepsy; first aid; seizure,ai-draft,
Q265,Transport & Traffic Safety,Ajolupa / viranomainen,P45,Kuinka pitkään taksinkuljettajan ajolupa on enintään voimassa?,What is the maximum validity period of a taxi driver's licence?,Viisi vuotta.,Five years.,Viisitoista vuotta.,Fifteen years.,Toistaiseksi.,Indefinitely.,A,ajolupa on enintään voimassa,maximum validity of the licence,Viisi vuotta,five years,Viisitoista vuotta; Toistaiseksi,fifteen years; indefinitely,A taxi driver's licence is valid for up to five years (A).,Easy,licence; validity; five years,ai-draft,
Q266,Transport & Traffic Safety,Ajolupa / viranomainen,P46,Kuka myöntää taksinkuljettajan ajoluvan?,Who grants the taxi driver's licence?,ELY-keskus (liikenne).,The ELY Centre (transport).,Liikenne- ja viestintävirasto (Traficom).,The Finnish Transport and Communications Agency (Traficom).,Poliisi.,The police.,B,myöntää taksinkuljettajan ajoluvan,grants the taxi driver's licence,Liikenne- ja viestintävirasto (Traficom),Traficom,ELY-keskus; Poliisi,ELY Centre; police,Traficom (formerly Trafi) grants taxi driver licences (B). ELY Centres no longer handle this; the police can revoke but do not grant.,Easy,Traficom; licence grant; authority,ai-draft,
Q267,Transport & Traffic Safety,Ajolupa / viranomainen,P47,"Aulis on hankkinut taksinkuljettajan ajoluvan kolme vuotta sitten. Asemapaikka on Vantaa, mutta hän muuttaa Jyväskylään. Voiko Aulis aloittaa työskentelyn jyväskyläläisellä työnantajalla?",Aulis got his taxi licence three years ago. His home base is Vantaa but he is moving to Jyväskylä. Can he start with a Jyväskylä employer?,"Ei, sillä taksinkuljettajan ajolupa on voimassa vain kaksi vuotta.","No, because the licence is valid for only two years.","Kyllä, mutta suoritettuaan hyväksytysti Jyväskylän paikallistuntemuskokeen ja haettuaan kelpoisuusalueen laajentamista Traficomilta.","Yes, but only after passing the Jyväskylä local-knowledge test and applying to Traficom.","Kyllä, sillä taksinkuljettajan ajolupa on voimassa koko Manner-Suomen alueella.","Yes, because the licence is valid across all of mainland Finland.",C,ajolupa on voimassa koko Manner-Suomen,valid across mainland Finland,koko Manner-Suomen alueella,all of mainland Finland,voimassa vain kaksi vuotta; paikallistuntemuskokeen,only two years; local-knowledge test,The licence covers all of mainland Finland — no local test needed (C).,Medium,licence; mainland Finland; validity area,ai-draft,
Q268,Transport & Traffic Safety,Työaika / ajopäiväkirja,P48,Missä seuraavista tilanteista kuljettaja voi kieltäytyä kyydistä?,In which of the following situations may the driver refuse the ride?,Kyyti suuntautuu toiselle liikennealueelle.,The ride goes to another traffic area.,Laillinen työaika ylittyisi.,The legal working hours would be exceeded.,Asiakas on menossa toiselle kunnan alueelle.,The customer is going to another municipality's area.,B,kieltäytyä kyydistä,refuse the ride,Laillinen työaika ylittyisi,the legal working hours would be exceeded,toiselle liikennealueelle; toiselle kunnan alueelle,another traffic area; another municipality's area,A driver may refuse a ride if accepting it would breach legal working-hour limits (B). Going to another traffic area (A) or municipality (C) are not valid grounds for refusal.,Medium,refusal; working hours; legal limit,ai-draft,
Q269,Transport & Traffic Safety,Työaika / ajopäiväkirja,P49,Kalle on ajanut opintojensa ohella Ismo Isännälle neljä vuotta. Nyt hän lopettaa työsuhteensa. Kuinka pitkä on Kallen irtisanomisaika?,Kalle has driven for Ismo for four years alongside his studies. He is now ending the employment. How long is his notice period?,"14 päivää, sillä työsuhde on kestänyt alle viisi vuotta.","14 days, because the employment has lasted less than five years.","1 kuukausi, sillä työsuhde on yli vuoden, mutta alle viisi vuotta.","1 month, because the employment is over a year but less than five years.","Kalle voi lopettaa, sitten kun Ismo löytää uuden kuljettajan.",Kalle may leave once Ismo finds a new driver.,A,neljä vuotta; irtisanomisaika,four years; notice period,"14 päivää, sillä työsuhde on kestänyt alle viisi vuotta","14 days, less than five years",1 kuukausi; sitten kun Ismo löytää uuden kuljettajan,1 month; once Ismo finds a new driver,Under five years: 14-day notice (A). A month (B) is the over-five-year threshold; waiting for a replacement (C) is not the rule.,Easy,notice period; under five years; 14 days,ai-draft,
Q270,Transport & Traffic Safety,Työaika / ajopäiväkirja,P53,Koskeeko työaikalaki taksinkuljettajaa?,Does the Working Hours Act apply to taxi drivers?,Kyllä koskee.,"Yes, it does.","Ei koske, jos siitä on sovittu työnantajan kanssa.","No, if agreed with the employer.",Ei koske missään tilanteissa.,"No, under no circumstances.",A,työaikalaki,Working Hours Act,Kyllä koskee,"yes, it does","Ei koske, jos siitä on sovittu työnantajan kanssa; Ei koske missään tilanteissa",no if agreed; no under any circumstances,The Working Hours Act always applies to employed taxi drivers (A).,Easy,Working Hours Act; employment,ai-draft,
Q271,Transport & Traffic Safety,Ajolupa / viranomainen,P56,Millä alueella taksinkuljettajan ajolupa on voimassa?,In which area is a taxi driver's licence valid?,Kuljettajan pääasiallisessa asuinkunnassa.,In the driver's main municipality of residence.,Euroopan unionin alueella.,In the European Union.,Manner-Suomessa.,In mainland Finland.,C,ajolupa on voimassa,the licence is valid,Manner-Suomessa,mainland Finland,pääasiallisessa asuinkunnassa; Euroopan unionin alueella,main municipality; the EU,A taxi driver's licence is valid across all of mainland Finland (C).,Easy,licence; mainland Finland; validity area,ai-draft,
Q272,Transport & Traffic Safety,Työaika / ajopäiväkirja,P58,Mikä seuraavista kuljettajan työaikaa koskevista väittämistä ei pidä paikkaansa?,Which of the following statements about a driver's working time is NOT true?,Taksinkuljettajan vuorokautinen työaika saa olla enimmillään 11 tuntia 24 tunnin ajanjaksossa.,A taxi driver's daily working time may be at most 11 hours in a 24-hour period.,Työaika on varsinaisen ajotyön lisäksi myös taksiasemalla oloaika ja auton siivoamiseen käytetty aika.,"Working time includes, in addition to actual driving, time at the taxi rank and time spent cleaning the car.",Työaika on myös kuljettajan työpäivän aikana pitämä kahden tunnin tauko.,Working time also includes a two-hour break taken during the driver's working day.,C,työaikaa koskevista väittämistä ei pidä paikkaansa,working time statement that is NOT true,Työaika on myös kuljettajan työpäivän aikana pitämä kahden tunnin tauko,working time also includes the two-hour break,enimmillään 11 tuntia; taksiasemalla oloaika,at most 11 hours; time at the rank,C is false: breaks are NOT counted as working time. A (11-hour max) and B (rank time + cleaning = working time) are both correct.,Medium,working hours; break; NOT working time,ai-draft,
Q273,Transport & Traffic Safety,Työaika / ajopäiväkirja,P64,Jokaisen työsuhteessa olevan taksinkuljettajan velvollisuutena on täyttää ajopäiväkirja. Mitä ajopäiväkirjaan muun muassa merkitään?,"Every employed taxi driver must keep a logbook. What is recorded in it, among other things?",Työvuoron aloitus- ja lopetusaika sekä taukojen ajankohdat.,The start and end time of the shift and the times of breaks.,Tauot ja niiden aikana nautittu ravinto.,Breaks and the food consumed during them.,Lyhyt selvitys työvuoron aikana tapahtuneista ongelmatilanteista.,A brief description of problem situations during the shift.,A,ajopäiväkirja,logbook,Työvuoron aloitus- ja lopetusaika sekä taukojen ajankohdat,shift start/end times and break times,nautittu ravinto; ongelmatilanteista,food consumed; problem situations,The logbook records shift times and breaks (A). Food (B) and incident reports (C) are not required entries.,Medium,logbook; shift times; breaks,ai-draft,
Q274,Transport & Traffic Safety,Hätätilanne / poliisi / ensiapu,P65,Yleinen hätänumero on?,What is the general emergency number?,118.,118.,119.,119.,112.,112.,C,Yleinen hätänumero,general emergency number,112,112,118; 119,118; 119,112 is Finland's general emergency number (C).,Easy,emergency number; 112,ai-draft,
Q275,Transport & Traffic Safety,Hätätilanne / poliisi / ensiapu,P67,Ennakoivassa ajotavassa tärkeintä on?,What is most important in anticipatory driving?,Osata toimia oikein onnettomuuden sattuessa.,Knowing how to act correctly when an accident happens.,Taito toimia oikein vaaratilanteessa onnettomuuden välttämiseksi.,The skill to act correctly in a dangerous situation to avoid an accident.,"Pyrkiä ajamaan niin, ettei joudu vaara- eikä onnettomuustilanteeseen.",Aiming to drive so that you never end up in a dangerous or accident situation.,C,Ennakoivassa ajotavassa,anticipatory driving,"ajamaan niin, ettei joudu vaara- eikä onnettomuustilanteeseen",drive so you never reach a dangerous situation,onnettomuuden sattuessa; vaaratilanteessa onnettomuuden välttämiseksi,when an accident happens; in a dangerous situation,Preventing danger before it arises is the essence of anticipatory driving (C).,Medium,anticipatory driving; proactive,ai-draft,
Q276,Transport & Traffic Safety,Hätätilanne / poliisi / ensiapu,P68,Ajat melko vilkasliikenteistä valtatietä kohti taksiasemaa. Yhtäkkiä huomaat polkupyöräilijän kaatuvan ja jäävän maahan liikkumattomana. Mikä on ensimmäinen ensiaputoimenpiteesi?,You are driving on a busy main road when you see a cyclist fall and lie motionless. What is your first first-aid action?,Hengitysteiden avaaminen.,Open the airway.,Polkupyöräilijän tutkiminen mahdollisten murtumien ja verenvuotojen havaitsemiseksi.,Examine the cyclist for possible fractures and bleeding.,Polkupyöräilijän siirtäminen turvallisempaan paikkaan.,Move the cyclist to a safer place.,A,polkupyöräilijän kaatuvan; ensimmäinen ensiaputoimenpite,a cyclist falling; first first-aid action,Hengitysteiden avaaminen,open the airway,tutkiminen mahdollisten murtumien ja verenvuotojen havaitsemiseksi; siirtäminen turvallisempaan paikkaan,examine for fractures; move to a safer place,Airway first — check it is open and clear (A). Fracture check (B) comes later; moving a possible spinal injury (C) risks harm.,Medium,first aid; airway; fallen cyclist,ai-draft,
Q277,Transport & Traffic Safety,Alkolukko / alkoholi,P70,Kuinka kauan rattijuopumukseen syyllistynyt ei voi hakea taksinkuljettajan ajolupaa?,For how long may someone convicted of drink-driving not apply for a taxi driver's licence?,Vuoden ajan.,For one year.,Kolmen vuoden ajan.,For three years.,Viiden vuoden ajan.,For five years.,C,rattijuopumukseen syyllistynyt,convicted of drink-driving,Viiden vuoden ajan,for five years,Vuoden ajan; Kolmen vuoden ajan,one year; three years,A drink-driving conviction bars the applicant from a taxi licence for five years (C).,Medium,drink-driving; five year ban; licence,ai-draft,
Q278,Transport & Traffic Safety,Ajolupa / viranomainen,P72,Taksinkuljettajan ajoluvan voi peruuttaa?,Who can revoke a taxi driver's licence?,Poliisi.,The police.,Taksin paikallisyhdistys.,The local taxi association.,Liikenne- ja viestintävirasto (Traficom).,Traficom.,A,ajoluvan voi peruuttaa,can revoke the licence,Poliisi,the police,Taksin paikallisyhdistys; Liikenne- ja viestintävirasto,local taxi association; Traficom,The police revoke taxi licences (A).,Medium,licence revocation; police,ai-draft,
Q279,Transport & Traffic Safety,Ajolupa / viranomainen,P73,"Kuinka pitkään B-luokan ajo-oikeuden on pitänyt olla voimassa, jotta taksinkuljettajan ajolupa voidaan myöntää?",How long must a class B driving licence have been held before a taxi driver's licence can be granted?,Vähintään yhden vuoden ajan.,For at least one year.,Vähintään kolmen vuoden ajan.,For at least three years.,Vähintään viiden vuoden ajan.,For at least five years.,A,B-luokan ajo-oikeuden on pitänyt olla voimassa,class B licence must have been held,Vähintään yhden vuoden ajan,at least one year,Vähintään kolmen vuoden ajan; Vähintään viiden vuoden ajan,three years; five years,The class B licence must have been valid for at least one year (A).,Easy,class B licence; one year; prerequisite,ai-draft,
Q280,Transport & Traffic Safety,Ajolupa / viranomainen,P75,Mikä viranomainen myöntää taksinkuljettajan ajoluvan?,Which authority grants the taxi driver's licence?,Poliisi.,The police.,Liikenne- ja viestintävirasto (Traficom).,The Finnish Transport and Communications Agency (Traficom).,TE-toimisto.,The Employment and Economic Development Office (TE Office).,B,myöntää taksinkuljettajan ajoluvan,grants the taxi driver's licence,Liikenne- ja viestintävirasto (Traficom),Traficom,Poliisi; TE-toimisto,police; TE Office,Traficom grants taxi driver licences (B).,Easy,Traficom; licence grant,ai-draft,
Q281,Transport & Traffic Safety,Työaika / ajopäiväkirja,P76,Aino aloittaa työvuoronsa klo 5.30 ja tekee aamulla monipuolisia ajoja. Milloin Ainon on pidettävä ensimmäinen tauko?,Aino starts her shift at 5:30. When must she take her first break?,Sitten kun hän tuntee itsensä väsyneeksi.,When she feels tired.,"Viimeistään klo 11, sillä kuljettajan yhtäjaksoinen työaika saa olla enintään 5,5 tuntia.","By 11:00 at the latest, as the driver's continuous working time may be at most 5.5 hours.","Viimeistään klo 10, sillä kuljettajan yhtäjaksoinen työaika saa olla enintään 4,5 tuntia.","By 10:00 at the latest, as the driver's continuous working time may be at most 4.5 hours.",B,5.30; ensimmäinen tauko,5:30; first break,"Viimeistään klo 11; 5,5 tuntia",by 11:00; 5.5 hours,tuntee itsensä väsyneeksi; klo 10,when she feels tired; by 10:00,5:30 + 5.5 hours = 11:00: the first break must be taken by then (B). Fatigue-based (A) has no legal basis; 4.5 hours (C) is wrong.,Medium,break; 5.5 hours; working hours; shift,ai-draft,
Q282,Transport & Traffic Safety,Ajoneuvo / lupavelvoitteet,P79,Laissa liikenteen palveluista on lueteltu erilaisia laatuvaatimuksia. Mikä seuraavista vaihtoehdoista pitää paikkansa?,The Transport Services Act lists various quality requirements. Which is correct?,Laatuvaatimukset koskevat ainoastaan taksiluvan haltijaa.,Quality requirements apply only to the licence holder.,Laatuvaatimukset koskevat jokaista taksinkuljettajaa.,Quality requirements apply to every taxi driver.,"Laatuvaatimukset koskevat ainoastaan niitä yrittäjiä, joilla on enemmän kuin kaksi vakituista työntekijää.",Quality requirements apply only to operators with more than two permanent employees.,B,laatuvaatimukset,quality requirements,koskevat jokaista taksinkuljettajaa,apply to every taxi driver,ainoastaan taksiluvan haltijaa; enemmän kuin kaksi vakituista työntekijää,only the licence holder; more than two employees,Quality requirements apply to every taxi driver (B).,Medium,quality requirements; Transport Services Act,ai-draft,
Q283,Transport & Traffic Safety,Liikennesäännöt / ajotapa,Q15,"Miten toimit, kun kyydissä oleva asiakas pyytää ajamaan ylinopeutta?",How do you act when the passenger asks you to speed?,"Kerrot asiakkaalle, ettet voi ajaa ylinopeutta, koska asetettua nopeusrajoitusta ei saa ylittää.",You tell the customer you cannot speed because the speed limit must not be exceeded.,"Kerrot asiakkaalle, että voit ajaa ylinopeutta, jos asiakkaan kanssa on sovittu, että hän ottaa vastattavakseen oikeudelliset seuraamukset.",You tell them you can speed if they agree to take legal responsibility.,"Kerrot asiakkaalle, ettet voi ajaa ylinopeutta, koska tieliikennelain mukaan se on sallittua vain kiireellisissä sairaustapauksissa.",You tell them you cannot speed because the Road Traffic Act only allows it in urgent medical cases.,A,pyytää ajamaan ylinopeutta,asks you to speed,nopeusrajoitusta ei saa ylittää,the speed limit must not be exceeded,hän ottaa vastattavakseen oikeudelliset seuraamukset; vain kiireellisissä sairaustapauksissa,takes legal responsibility; only in urgent medical cases,"The limit must not be exceeded, full stop (A).",Easy,speeding; speed limit; illegal,ai-draft,
Q284,Transport & Traffic Safety,Liikennesäännöt / ajotapa,Q17,Milloin saat ajaa taksilla moottoriajoneuvolla ajo kielletty -liikennemerkillä merkityllä kadulla?,When may you drive a taxi on a street marked with a 'no motor vehicles' sign?,Kun olet menossa kadun varrella olevalle kiinteistölle.,When you are going to a property on that street.,Kun auto menee rikki kesken ajon.,When the car breaks down mid-journey.,Kun asiakas pyytää ajamaan kyseisen merkin ohi.,When the customer asks you to drive past the sign.,A,moottoriajoneuvolla ajo kielletty,no motor vehicles sign,menossa kadun varrella olevalle kiinteistölle,going to a property on that street,auto menee rikki; asiakas pyytää,car breaks down; customer asks,Property access on that street is the permitted exception (A).,Medium,traffic sign; no motor vehicles; property access,ai-draft,
